孰	ジュク	100%
竟	キョウ	100%
竟	ケイ	100%
野	ショ	100%
野	ヤ	100%
隋	ダ	67%
著	チョ	100%
著	チャク	50%
間	カン	86%
奧	オウ	80%
雍	ヨウ	67%
襄	ジョウ	93%
豪	ゴウ	100%
廣	コウ	100%
黃	コウ	100%
曇	ドン	100%
龍	ロウ	75%
壮	ソウ	100%
壯	ソウ	100%
爿	ソウ	83%
爿	ショウ	67%
夐	ケイ	100%
太	タ	100%
太	タイ	50%
央	オウ	75%
夷	イ	75%
奏	ソウ	100%
長	チョウ	63%
奚	ケイ	100%
奠	テイ	100%
奥	オウ	100%
将	ショウ	100%
将	ソウ	67%
將	ショウ	100%
將	ソウ	80%
如	ジョ	75%
妾	ショウ	100%
生	セイ	56%
生	ショウ	56%
威	イ	50%
沙	シャ	100%
沙	サ	100%
娚	ドウ	100%
那	ダ	100%
那	ナ	100%
阿	ア	100%
波	ハ	67%
宛	エン	57%
昏	コン	100%
氏	シ	67%
帚	ソウ	50%
眉	ビ	100%
爰	エン	50%
家	カ	67%
疾	シツ	100%
弱	ジャク	57%
焉	エン	100%
常	ジョウ	100%
閑	カン	100%
賓	ヒン	100%
頼	ライ	71%
霜	ソウ	100%
相	ソウ	80%
存	ソン	67%
孟	モウ	100%
季	キ	100%
孤	コ	100%
孫	ソン	100%
孱	セン	100%
孱	サン	100%
茲	ジ	100%
茲	シ	100%
乇	タク	100%
守	シュ	100%
安	アン	100%
完	カン	75%
宏	コウ	100%
宗	ソウ	83%
官	カン	83%
宜	ギ	100%
宰	サイ	100%
容	ヨウ	100%
宿	シュク	67%
密	ミツ	100%
莧	カン	100%
察	サツ	100%
祭	サイ	67%
貫	カン	67%
寍	ネイ	100%
審	シン	100%
寫	シャ	100%
舄	セキ	50%
尞	リョウ	100%
封	ホウ	100%
射	シャ	100%
尉	イ	100%
尋	ジン	100%
道	ドウ	100%
尭	ギョウ	50%
就	シュウ	100%
就	ジュ	50%
尾	ビ	100%
局	キョク	100%
死	シ	50%
展	テン	100%
復	フク	50%
民	ミン	80%
島	トウ	50%
昆	コン	86%
爭	ソウ	67%
崩	ホウ	100%
嵒	ガン	100%
竒	キ	100%
章	ショウ	100%
隆	リュウ	50%
登	トウ	71%
癶	ハツ	50%
領	リョウ	100%
敢	カン	100%
魏	ギ	100%
顛	テン	100%
州	シュウ	100%
丂	コウ	67%
巨	キョ	86%
巴	ハ	64%
巵	シ	100%
巷	コウ	100%
師	シ	100%
帯	タイ	100%
帶	タイ	100%
晃	コウ	100%
曼	マン	100%
曼	バン	60%
敝	ヘイ	57%
幹	カン	100%
幼	ヨウ	67%
幾	キ	100%
広	コウ	100%
庄	ショウ	50%
庄	ソウ	50%
氐	テイ	100%
度	ト	100%
座	ザ	100%
廷	テイ	100%
康	コウ	100%
発	ハツ	67%
廉	レン	100%
郎	ロウ	100%
皀	キュウ	67%
郭	カク	100%
廛	テン	100%
解	カイ	100%
盧	ロ	100%
聴	チョウ	100%
聴	テイ	100%
聽	チョウ	100%
延	エン	67%
弍	ニ	100%
弍	ジ	100%
式	シキ	50%
引	イン	50%
弯	ワン	100%
張	チョウ	100%
強	キョウ	100%
彌	ビ	100%
彌	ミ	100%
彎	ワン	100%
当	トウ	100%
彗	ケイ	100%
彗	エ	100%
采	サイ	100%
彭	ホウ	50%
景	ケイ	50%
旬	ジュン	88%
旬	シュン	75%
律	リツ	100%
従	ジュウ	100%
從	ショウ	80%
御	ギョ	100%
御	ゴ	100%
盾	ジュン	67%
微	ビ	100%
徴	チョウ	100%
忍	ニン	67%
志	シ	100%
忽	コツ	100%
灰	カイ	67%
息	ソク	50%
悉	シツ	100%
旱	カン	100%
邑	ユウ	50%
罔	モウ	100%
罔	ボウ	67%
春	シュン	75%
星	セイ	100%
星	ショウ	50%
愈	ユ	100%
愛	アイ	100%
感	カン	100%
氣	キ	100%
氣	ケ	100%
气	キ	60%
涌	ヨウ	100%
栗	リツ	100%
殷	イン	100%
荒	コウ	100%
造	ゾウ	100%
慮	リョ	100%
習	シュウ	75%
欲	ヨク	100%
馮	ヒョウ	100%
焦	ショウ	100%
閔	ビン	100%
閔	ミン	100%
滿	マン	100%
縣	ケン	50%
県	ケン	100%
瞿	ク	67%
戉	エツ	100%
戎	ジュウ	50%
戒	カイ	100%
戔	セン	92%
戚	セキ	100%
戠	ショク	67%
戠	シキ	67%
扇	セン	100%
扈	コ	100%
才	サイ	60%
爪	ソウ	67%
末	マツ	100%
末	バツ	80%
拑	カン	100%
拑	ケン	100%
拜	ハイ	100%
考	コウ	50%
舎	シャ	100%
欣	キン	100%
癸	キ	100%
柔	ジュウ	100%
苗	ビョウ	100%
耶	ヤ	100%
般	ハン	80%
窄	サク	100%
散	サン	100%
然	ネン	100%
最	サイ	50%
覚	カク	100%
達	タツ	100%
雷	ライ	100%
禽	キン	100%
臺	タイ	100%
擧	キョ	50%
閣	カク	100%
箭	セン	100%
罷	ヒ	50%
樊	ハン	100%
賛	サン	100%
覺	カク	100%
矍	カク	100%
覽	ラン	100%
求	キュウ	100%
敦	トン	67%
敬	ケイ	67%
旉	フ	100%
斂	レン	100%
武	ブ	75%
斛	コク	100%
施	シ	100%
斿	ユウ	100%
旅	リョ	100%
旗	キ	100%
明	メイ	50%
昭	ショウ	100%
晉	シン	100%
普	フ	100%
析	セキ	100%
知	チ	67%
英	エイ	100%
暴	バク	100%
署	ショ	100%
蒙	モウ	100%
蒙	ボウ	67%
羲	ギ	100%
羲	キ	100%
曳	エイ	67%
曹	ソウ	100%
會	カイ	100%
服	フク	100%
札	サツ	100%
朮	ジュツ	100%
朶	タ	100%
来	ライ	100%
松	ショウ	67%
査	サ	100%
牟	ボウ	75%
牟	ム	50%
梁	リョウ	100%
條	デキ	50%
條	ジョウ	50%
棘	キョク	100%
段	タン	100%
段	ダン	50%
楚	ソ	100%
胡	コ	100%
盈	エイ	100%
泉	セン	75%
秦	シン	100%
榮	エイ	100%
留	リュウ	100%
留	ル	57%
追	ツイ	100%
貢	コウ	50%
竜	ロウ	100%
皐	コウ	100%
規	キ	100%
黄	オウ	100%
毳	ゼイ	100%
毳	セイ	100%
蜜	ミツ	100%
魯	ロ	100%
閭	ロ	100%
閭	リョ	100%
縁	エン	100%
歴	レキ	100%
闌	ラン	100%
歇	カツ	100%
翕	キュウ	100%
壳	カク	100%
壳	コク	100%
壳	バイ	100%
殿	デン	100%
殿	テン	67%
毀	キ	100%
氾	ハン	100%
江	コウ	100%
沓	トウ	100%
沛	ハイ	100%
沾	テン	100%
泊	ハク	100%
法	ホウ	100%
洛	ラク	100%
活	カツ	100%
𠂢	ハ	50%
浦	ホ	100%
肴	コウ	100%
淫	イン	100%
温	オン	100%
苛	カ	100%
眇	ビョウ	100%
眇	ミョウ	50%
面	メン	50%
面	ベン	50%
湯	トウ	100%
盍	コウ	100%
溥	ハク	50%
辱	ジョク	100%
滕	トウ	100%
袞	コン	100%
絜	ケツ	100%
潘	ハン	100%
閏	ジュン	100%
覃	タン	80%
猪	チョ	100%
澡	ソウ	100%
零	レイ	100%
賤	セン	100%
養	ヨウ	100%
頻	ヒン	100%
翰	カン	100%
静	セイ	100%
蕭	ショウ	100%
豬	チョ	100%
烝	ジョウ	100%
粲	サン	100%
遂	スイ	100%
狂	キョウ	100%
狄	テキ	100%
猶	ユウ	100%
猶	ユ	100%
率	シュツ	100%
畜	チク	100%
畢	ヒツ	100%
當	トウ	100%
疏	ソ	100%
疏	ショ	100%
脊	セキ	100%
虐	ギャク	100%
累	ルイ	50%
霍	カク	100%
鮮	セン	100%
皃	ボウ	100%
皃	バク	100%
鼓	コ	67%
芻	スウ	100%
